			GMRT Grid Version 3.4
Longitude	Latitude	Distance (km)	Elevation (m)
-159.3	52.2	0.0	-4731.0605
-159.30263	52.20527	0.6129075	-4729.6797
-159.30527	52.21054	1.225815	-4723.158
-159.3079	52.21581	1.8387226	-4717.462
-159.31055	52.22108	2.45163	-4719.346
-159.31319	52.22635	3.0645375	-4721.3516
-159.31581	52.23162	3.677445	-4721.688
-159.31845	52.23689	4.2903523	-4718.6807
-159.32109	52.24216	4.9032598	-4719.5405
-159.32373	52.24743	5.516167	-4726.6084
-159.32637	52.2527	6.1290746	-4728.3003
-159.32901	52.25797	6.741982	-4731.614
-159.33167	52.263237	7.3548894	-4734.8667
-159.3343	52.26851	7.967797	-4734.133
-159.33694	52.273777	8.580705	-4733.1094
-159.33958	52.279045	9.193612	-4734.7974
-159.34224	52.284317	9.8065195	-4735.844
-159.34488	52.289585	10.419427	-4737.338
-159.34752	52.294853	11.032334	-4738.241
-159.35017	52.30012	11.645242	-4739.268
-159.35281	52.305393	12.258149	-4740.1377
-159.35547	52.31066	12.871057	-4739.9004
-159.35811	52.31593	13.483964	-4740.0527
-159.36076	52.321198	14.096871	-4740.7715
-159.3634	52.32647	14.709779	-4742.296
-159.36606	52.331738	15.322686	-4737.2427
-159.36871	52.337006	15.935594	-4728.4546
-159.37135	52.342274	16.548502	-4721.287
-159.37401	52.34754	17.16141	-4713.9805
-159.37666	52.35281	17.774317	-4705.7554
-159.37932	52.358078	18.387224	-4699.139
-159.38197	52.363346	19.000132	-4691.472
-159.38463	52.368618	19.613039	-4694.0137
-159.38728	52.373886	20.225946	-4711.5684
-159.38994	52.379154	20.838854	-4733.556
-159.3926	52.384422	21.451761	-4734.7393
-159.39525	52.38969	22.064669	-4709.0273
-159.3979	52.39496	22.677576	-4697.197
-159.40056	52.400227	23.290483	-4699.2183
-159.40323	52.405495	23.90339	-4699.9995
-159.40588	52.41076	24.516298	-4699.2944
-159.40854	52.416027	25.129206	-4694.171
-159.41121	52.421295	25.742113	-4696.1353
-159.41386	52.426563	26.35502	-4694.5767
-159.41653	52.43183	26.967928	-4695.548
-159.41919	52.4371	27.580835	-4698.0117
-159.42186	52.442368	28.193743	-4698.698
-159.42451	52.447636	28.80665	-4697.0435
-159.42719	52.4529	29.419558	-4695.735
-159.42984	52.458168	30.032465	-4695.5996
-159.43251	52.463436	30.645372	-4694.9863
-159.43518	52.468704	31.25828	-4692.6484
-159.43785	52.47397	31.871187	-4691.017
-159.4405	52.479237	32.484097	-4690.311
-159.44318	52.484505	33.097004	-4688.245
-159.44585	52.489773	33.70991	-4691.3613
-159.44852	52.495037	34.32282	-4694.0127
-159.45119	52.500305	34.935726	-4693.251
-159.45386	52.505573	35.548634	-4693.0312
-159.45653	52.510838	36.16154	-4692.9756
-159.4592	52.516106	36.77445	-4693.759
-159.46188	52.521374	37.387356	-4691.183
-159.46455	52.526638	38.000263	-4690.5586
-159.46722	52.531906	38.61317	-4690.554
-159.4699	52.53717	39.226078	-4691.697
-159.47258	52.54244	39.838985	-4698.3384
-159.47525	52.547703	40.451893	-4710.952
-159.47794	52.55297	41.0648	-4723.8643
-159.4806	52.558235	41.677708	-4727.073
-159.48328	52.563503	42.290615	-4732.271
-159.48596	52.568768	42.903522	-4728.0547
-159.48865	52.574036	43.51643	-4721.383
-159.49132	52.5793	44.129337	-4724.616
-159.494	52.584568	44.742245	-4746.36
-159.49669	52.589832	45.355152	-4680.03
-159.49936	52.595097	45.96806	-4675.199
-159.50204	52.600365	46.580967	-4674.4585
-159.50473	52.60563	47.193874	-4673.867
-159.50742	52.610893	47.80678	-4673.7886
-159.5101	52.61616	48.41969	-4674.8706
-159.51279	52.621426	49.032597	-4674.977
-159.51547	52.62669	49.645504	-4675.43
-159.51816	52.631958	50.25841	-4674.7583
-159.52084	52.637222	50.87132	-4674.1846
-159.52353	52.642487	51.484226	-4672.7
-159.52621	52.64775	52.097134	-4671.886
-159.5289	52.65302	52.71004	-4670.3765
-159.5316	52.658283	53.32295	-4668.9077
-159.53429	52.663548	53.935856	-4666.372
-159.53697	52.66881	54.548763	-4664.045
-159.53967	52.674076	55.16167	-4661.855
-159.54236	52.67934	55.77458	-4660.4
-159.54506	52.684605	56.387486	-4659.011
-159.54774	52.689873	57.000393	-4659.4946
-159.55045	52.695137	57.6133	-4661.4224
-159.55313	52.7004	58.226208	-4663.094
-159.55583	52.705666	58.839115	-4665.429
-159.55853	52.71093	59.452023	-4667.926
-159.56122	52.716194	60.06493	-4670.9565
-159.56392	52.72146	60.677837	-4674.725
-159.56662	52.726723	61.290745	-4679.6772
-159.56932	52.731987	61.903652	-4684.2324
-159.57202	52.73725	62.51656	-4688.536
-159.57472	52.742516	63.129467	-4692.9243
-159.57742	52.74778	63.742374	-4694.97
-159.58012	52.753044	64.355286	-4695.124
-159.58282	52.758305	64.96819	-4694.991
-159.58553	52.76357	65.5811	-4694.9536
-159.58823	52.768833	66.19401	-4695.57
-159.59093	52.774097	66.806915	-4696.6104
-159.59364	52.77936	67.41982	-4697.648
-159.59634	52.784626	68.03273	-4699.4175
-159.59904	52.789886	68.64564	-4701.031
-159.60176	52.79515	69.258545	-4703.184
-159.60446	52.800415	69.87145	-4705.1
-159.60716	52.80568	70.48436	-4707.529
-159.60988	52.81094	71.09727	-4710.1133
-159.61258	52.816204	71.710175	-4713.071
-159.6153	52.82147	72.32308	-4715.975
-159.61801	52.826733	72.93599	-4717.5728
-159.62071	52.831993	73.5489	-4718.451
-159.62343	52.837257	74.161804	-4719.9907
-159.62614	52.842518	74.77471	-4721.5483
-159.62886	52.847782	75.38762	-4722.5293
-159.63156	52.853046	76.00053	-4723.3584
-159.63428	52.858307	76.613434	-4723.2246
-159.637	52.86357	77.22634	-4723.11
-159.63971	52.86883	77.83925	-4722.69
-159.64243	52.874096	78.452156	-4721.7207
-159.64514	52.879356	79.06506	-4720.7915
-159.64786	52.88462	79.67797	-4719.851
-159.65059	52.88988	80.29088	-4718.9624
-159.6533	52.895145	80.903786	-4718.008
-159.65602	52.900406	81.51669	-4716.749
-159.65874	52.90567	82.1296	-4715.983
-159.66147	52.91093	82.74251	-4715.394
-159.66418	52.916195	83.355415	-4714.1787
-159.6669	52.921455	83.96832	-4713.745
-159.66963	52.926716	84.58123	-4713.0493
-159.67235	52.93198	85.19414	-4712.8037
-159.67508	52.93724	85.807045	-4714.099
-159.6778	52.9425	86.41995	-4715.8325
-159.68053	52.947765	87.03286	-4717.9946
-159.68326	52.953026	87.64577	-4720.9043
-159.68597	52.958286	88.258675	-4723.7563
-159.6887	52.96355	88.87158	-4727.469
-159.69144	52.96881	89.48449	-4732.096
-159.69417	52.97407	90.0974	-4736.32
-159.6969	52.979332	90.710304	-4741.57
-159.69963	52.984592	91.32321	-4746.68
-159.70236	52.989857	91.93612	-4752.838
-159.7051	52.995117	92.54903	-4757.68
-159.70782	53.000378	93.161934	-4761.783
-159.71056	53.00564	93.77484	-4764.6514
-159.71329	53.0109	94.38775	-4766.1323
-159.71602	53.01616	95.000656	-4766.0996
-159.71875	53.02142	95.61356	-4764.2256
-159.7215	53.02668	96.22647	-4762.119
-159.72423	53.03194	96.83938	-4771.7666
-159.72696	53.0372	97.452286	-4772.6694
-159.7297	53.04246	98.06519	-4772.417
-159.73244	53.04772	98.6781	-4770.7695
-159.73518	53.052982	99.29101	-4770.3545
-159.73792	53.058243	99.903915	-4771.78
