LAT	LON	START
64.56	-165.37	2015/02/19
60.12	-143.28	2015/02/19
60.97	-144.61	2015/02/19
64.10	-150.99	2015/02/19
59.74	-150.74	2015/02/19
60.77	-151.15	2014/06/10
63.42	-152.08	2015/02/19
55.82	-155.62	2015/02/19
54.83	-159.59	2015/02/19
63.88	-152.32	2015/02/19
67.23	-150.20	2014/06/17
60.75	-143.09	2015/02/19
60.96	-141.34	2015/02/19
62.41	-150.26	2014/05/16
63.08	-147.38	2015/02/19
60.55	-145.75	2015/02/19
54.86	-163.42	2015/02/19
63.78	-171.70	2015/02/19
64.75	-156.88	2015/07/29
60.88	-147.10	2015/02/19
64.41	-146.95	2014/10/30
59.66	-151.65	2014/08/21
59.93	-144.42	2015/02/19
61.49	-145.92	2015/02/19
61.41	-148.46	2015/02/19
61.38	-143.02	2015/02/19
63.73	-148.94	2014/10/02
60.18	-141.95	2015/02/19
65.03	-150.74	2014/10/02
64.59	-149.07	2014/06/16
52.97	-168.85	2015/02/19
62.97	-145.47	2015/02/19
60.10	-140.25	2015/02/19
59.67	-139.40	2015/10/25
65.52	-145.52	2015/02/19
62.90	-152.19	2015/02/19
60.86	-148.33	2015/10/25
61.09	-149.74	2014/09/03
68.05	-162.91	2015/02/19
63.74	-144.85	2015/02/19
61.81	-148.33	2015/02/19
61.83	-147.33	2015/10/25
63.98	-143.99	2014/07/29
56.56	-154.18	2015/02/19
61.98	-151.53	2015/02/19
57.18	-170.25	2015/02/19
61.46	-150.75	2015/02/19
60.10	-149.45	2015/02/19
65.56	-167.93	2014/10/12
63.45	-150.29	2016/09/01
63.45	-150.29	2015/02/19
53.85	-166.50	2015/02/19
62.83	-148.55	2015/06/25
62.96	-148.59	2015/02/19
62.58	-147.74	2015/02/19
56.30	-158.41	2015/02/19
55.47	-133.12	2015/02/19
57.22	-153.29	2015/02/19
61.59	-149.13	2015/02/19
55.35	-160.48	2015/02/19
57.06	-135.32	2015/02/19
59.46	-135.33	2015/02/19
62.93	-156.01	2015/02/19
61.20	-152.21	2015/02/19
32.89	-116.42	2004/04/15
32.89	-116.42	2007/10/24
33.61	-116.46	2004/04/15
37.95	-121.87	2005/02/10
38.03	-120.39	2004/05/01
38.35	-122.46	2004/05/01
37.70	-123.00	2004/05/01
39.65	-122.72	2005/09/22
38.99	-123.07	2004/05/01
42.61	-122.96	2004/05/01
40.82	-124.03	2004/05/01
37.40	-122.24	2004/05/01
37.32	-119.32	2004/05/01
38.14	-122.88	2006/02/03
38.88	-122.44	2004/05/01
41.90	-120.30	2004/05/01
39.55	-121.50	2004/05/01
37.01	-121.29	2004/05/01
35.95	-120.54	2004/05/01
38.20	-121.94	2004/05/01
40.58	-122.54	2004/05/01
37.62	-121.76	2004/05/01
41.73	-122.71	2004/05/01
34.55	-117.43	2004/04/01
35.13	-118.83	2004/07/19
34.26	-116.92	2004/04/01
33.66	-115.45	2004/04/01
33.58	-117.26	2004/06/23
34.00	-116.00	2004/04/01
34.24	-117.66	2004/04/01
